volumes when price is below and above average closing price
Volumes above average,Volumes below average
4751000,8134900
4949700,6319000
5529700,4670153
4104500,5057200
5112600,3838700
4660200,4298800
5871300,3734400
4794334,4349700
5502200,6609800
3320104,3335900
3638000,3738100
2977317,4147900
4228100,8134900
4751000,6319000
4949700,4670153
5529700,5057200
4104500,3838700
5112600,4298800
4660200,3734400
5871300,4349700
4794334,6609800
5502200,3335900
3320104,3738100
3638000,4147900
2977317,8134900
4228100,6319000
4751000,4670153
4949700,5057200
5529700,3838700
4104500,4298800
5112600,3734400
4660200,4349700
5871300,6609800
4794334,3335900
5502200,3738100
3320104,4147900
3638000,8134900
2977317,6319000
4228100,4670153
4751000,5057200
4949700,3838700
5529700,4298800
4104500,3734400
5112600,4349700
4660200,6609800
5871300,3335900
4794334,3738100
5502200,4147900
3320104,8134900
3638000,6319000
2977317,4670153
4228100,5057200
4751000,3838700
4949700,4298800
5529700,3734400
4104500,4349700
5112600,6609800
4660200,3335900
5871300,3738100
4794334,4147900
